,0,1,2,3,4,5,6,7,8
130,5,3,2,7,8,6,1,0,4
131,5,0,1,2,6,7,4,3,8
132,4,6,3,7,5,1,8,0,2
133,7,8,5,4,0,6,2,3,1
134,8,0,2,3,7,1,4,5,6
135,3,5,1,7,6,4,0,2,8
136,7,6,5,0,8,4,2,3,1
137,1,0,4,5,2,6,3,7,8
138,2,4,0,8,5,7,3,6,1
139,2,0,1,5,4,8,6,3,7
140,4,5,6,3,0,1,8,2,7
141,8,4,7,6,0,1,2,5,3
142,1,4,2,8,6,7,3,0,5
143,8,3,2,0,5,6,4,1,7
144,2,3,4,1,7,8,0,6,5
145,5,8,2,0,7,4,6,3,1
146,1,7,8,6,0,5,3,2,4
147,1,7,6,0,2,8,5,3,4
148,4,5,3,0,1,8,2,6,7
149,1,0,8,7,6,5,4,3,2
150,2,4,6,7,8,0,5,1,3
151,2,6,4,7,1,3,5,8,0
152,3,8,5,7,0,2,6,1,4
153,7,4,2,1,6,5,8,3,0
154,4,0,1,6,8,7,5,3,2
155,0,3,7,8,5,4,2,6,1
156,2,4,3,8,1,6,7,5,0
157,8,7,0,1,4,2,3,5,6
158,6,3,7,8,5,2,0,1,4
159,6,5,8,1,2,0,7,4,3
160,3,8,0,6,4,1,2,7,5
161,4,6,5,0,8,1,3,2,7
162,1,3,0,5,2,8,6,4,7
163,7,3,5,1,6,4,2,8,0
164,5,6,3,4,0,2,7,8,1
165,7,1,4,8,3,2,0,5,6
166,1,5,6,7,2,3,8,0,4
167,2,0,7,3,1,4,8,6,5
168,3,2,8,0,5,4,7,1,6
169,4,6,7,8,2,1,3,5,0
170,4,8,7,6,2,0,5,1,3
171,8,1,7,2,3,0,6,4,5
172,2,6,3,0,8,1,5,7,4
173,2,7,6,0,1,5,3,4,8
174,8,3,5,6,2,0,4,1,7
175,3,0,4,2,6,5,7,1,8
176,4,1,2,0,7,5,6,3,8
177,7,1,6,0,4,5,2,3,8
178,8,4,5,6,1,2,3,7,0
179,5,2,0,3,8,1,6,4,7
180,0,7,2,6,8,1,3,4,5
181,2,0,6,4,5,7,3,8,1
182,3,8,2,1,0,7,6,4,5
183,8,0,1,3,6,5,2,4,7
184,0,7,6,5,1,8,2,3,4
185,0,2,5,7,8,6,4,1,3
186,5,2,0,6,8,1,7,4,3
187,5,1,2,8,3,6,4,0,7
188,4,1,0,8,6,7,3,5,2
189,3,2,8,6,7,1,5,0,4
190,3,7,5,1,2,6,4,0,8
191,3,2,4,7,6,5,1,8,0
192,7,6,3,5,8,4,1,2,0
193,4,6,7,8,2,5,0,3,1
194,3,2,8,4,0,6,7,1,5
195,8,4,5,3,0,7,1,2,6
196,2,8,6,4,1,5,0,7,3
197,2,1,4,7,6,0,3,8,5
198,2,3,1,5,6,4,0,7,8
199,6,1,7,3,8,5,4,0,2
